Id,Last
1,71822743499520
2,1
4,159
5,435
6,25
9,1430
10,1
12,1
14,1
17,1
19,9858
22,1
25,160
27,1
29,1129
30,85
31,130
32,1
33,0
37,0
38,1
39,12345678
42,1
43,1
45,2
47,821280
48,410732
50,1
54,113
55,149
56,1
58,152
60,1
62,2
68,462
70,1
71,270
74,23818
78,1
79,160
80,1
81,1
83,3
84,175921860444160
85,431
87,1
88,0
90,1
93,1
96,139
97,1
98,3
99,1208925819614629174706176
101,1
103,1
106,3
114,326
115,38083
116,25
117,2
120,797
121,1
122,145
124,1
125,1013
127,19
128,677
129,1
131,1441
138,17
140,13103
142,276
143,48661191875666870272
144,1
145,1
146,761002156
148,1
151,1
153,744
154,314954640
156,1
157,302
161,15
169,0
170,239
172,216
173,187
175,1
180,65
182,495
183,134
184,1
187,479
189,1
191,2203
193,679
194,231988508
195,0
196,1
197,130
199,107
200,1
201,1
206,344444444443
207,1
209,10125
214,1
216,256
218,1
228,227
230,446
231,1
232,33
233,1
234,1
235,685
236,5326
239,1
240,1561
243,1
247,72673
248,1
250,1
252,1
253,16
257,1
260,0
261,2769
265,97
267,2432902008176640000
269,22
270,24
273,1
274,3
279,64
281,1
283,1
285,1
287,13277400
291,1
292,1
301,1
307,1
309,1
312,0
314,1
316,98689
321,1
322,6
324,1
325,324
330,6
331,8355
333,1
337,8617338912961659404288
338,653
341,1
342,10235867
343,1
344,9
345,1
346,1
348,41
349,86617093024
351,44
353,1
355,1
356,900
357,0
358,1
360,2
362,1215766545905692928
363,1
364,15761
365,2420297
367,1
368,1
369,3
370,18
371,1
375,103
376,122
380,145
381,178
382,252
383,787
384,217
385,7
388,2729
389,1
390,1
391,1
393,1
396,1056
397,1
398,61
399,2
401,2652
402,1
404,1
405,1
407,3
409,21
411,1
412,51
413,38415
414,144947
416,998001
417,2
418,59296646043258912
419,1
422,387400806
423,1
424,1
427,17840
432,1
433,139
435,1
440,4703
442,0
445,233
446,130
449,340
450,1
452,1
453,1
454,572204589843750
456,1
457,46663520
459,43
460,1
462,11141460353568422474092118016
465,81
468,1
471,1
472,1
473,1
474,614889782588491392
476,909
478,1
480,4
481,1
482,96
484,0
485,280
487,16
488,1
489,625
491,429
493,1044
495,1
496,131
497,22
498,1
500,140
501,1240
504,1
507,1
508,127
509,4
512,1
513,2791
514,505
522,1525002446582690816
523,621
524,666
527,2693
528,16185
529,1
530,1
531,9
532,0
536,167
537,1
538,77
539,0
542,227
543,1
544,1
545,1
547,73
548,1
550,210337
551,6
552,1
553,1
560,20020
561,512
562,1441
563,1
564,7121453984059539456
565,1
567,1
570,2267
573,239
574,1
575,1
576,11
577,11
580,1
583,86
586,1
587,0
591,1
593,983
594,1
596,1
599,28
600,1024
603,38146972655
605,24
607,3571
613,263
616,134125
617,1
625,1
626,36
629,1
633,20346417
635,1
636,345
639,1
640,1
642,1
647,238
648,1
649,7984925229121
650,18446744073709551616
652,1
654,1
656,1
663,1
665,148
666,138
668,1
670,12137
672,6
673,1
675,1680
676,2251
677,80080
679,4679
680,1
681,1
684,1
685,1
687,1
688,1
690,1
691,1
695,377
699,8
701,4
702,20
703,1
708,1
709,1
710,1
711,1
712,1
715,1
716,124
717,11132
719,141
720,1
723,267
724,1867
725,145
726,2530
727,1
728,1
736,672698
739,15187
740,1
741,2
742,1
743,2
745,1
748,217
749,521
751,56
752,7
753,773
754,1
755,1
757,1
758,6
760,9960
761,1
762,1777
763,3074003
765,2048
767,1
768,1
769,31
772,1
773,15527
774,1
778,1
779,1
781,0
782,307
783,1
787,1
788,5832
791,3333
795,83
798,1
799,1
800,1529
802,1
806,8062111
808,1
811,1
812,1
814,311
815,1
818,14
819,1931331422
821,2391
822,156816
825,181246
835,1
836,1
837,293
838,190
839,8
840,1
841,911
844,1
845,1
846,24732
849,5953
851,1
852,1
855,1
856,1
860,1
861,1
864,200001
866,151215265523724910592
867,2
868,182
869,0
871,1
872,73786976294838206464
877,1
878,0
879,16369
880,1009
882,0
885,94
887,1
890,1
892,1
896,1
897,68
898,-105471
900,1
901,13
902,1
903,149
904,1
906,1893
907,1
908,33
913,1
914,2213
915,14000
916,12235
918,97
919,1
921,1
922,1
925,19937
927,1
928,1
929,19361
936,196
940,1
941,1
942,6402373705728000
943,1
944,1
946,1
947,1
950,1
952,1
953,166771816996665696
955,1
957,3
960,73
961,1
964,1
967,403
969,1
974,669
985,1
986,178
988,1
991,1
993,1024
994,1087
998,1
1000,100
